Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Total effort hours,Performance Index
7,99,Yes,9,1,8,91
4,82,No,4,2,6,65
8,51,Yes,7,2,10,45
5,52,Yes,5,2,7,36
7,75,No,8,5,12,66
3,78,No,9,6,9,61
7,73,Yes,5,6,13,63
8,45,Yes,4,6,14,42
5,77,No,8,2,7,61
4,89,No,4,0,4,69
8,91,No,4,5,13,84
8,79,No,6,2,10,73
3,47,No,9,2,5,27
6,47,N,4,2,8,33
5,79,No,7,8,13,68
2,72,No,4,3,5,43
8,73,Yes,8,4,12,67
6,83,Yes,7,2,8,70
2,54,Yes,4,9,11,30
5,75,No,7,0,5,63
1,99,Y,4,3,4,71
6,96,No,9,0,6,85
9,74,Yes,7,6,15,73
1,85,No,5,6,7,57
3,61,No,6,3,6,35
7,62,Yes,7,4,11,49
4,79,No,8,9,13,66
9,84,Yes,6,6,15,83
3,94,Yes,6,5,8,74
5,90,Yes,4,3,8,74
3,61,Yes,7,3,6,39
7,44,Yes,9,1,8,36
5,70,Yes,6,9,14,58
9,52,Yes,8,1,10,47
7,67,Yes,9,3,10,60
2,97,Y,9,4,6,74
4,59,No,8,3,7,42
9,72,No,8,2,11,68
2,55,Yes,4,1,3,32
9,68,No,5,3,12,64
5,62,No,7,4,9,45
2,63,Yes,6,0,2,39
4,73,Yes,7,0,4,58
7,46,N,9,5,12,36
8,77,Yes,6,4,12,71
3,76,Yes,4,3,6,54
1,43,Yes,7,0,1,17
4,73,No,4,6,10,54
2,81,Yes,4,3,5,58
8,61,No,7,2,10,53
4,44,Yes,7,6,10,27
2,89,Yes,6,1,3,65
6,81,No,9,9,15,75
6,62,Yes,9,0,6,52
4,93,No,8,3,7,78
6,99,No,4,7,13,91
2,54,Yes,9,5,7,33
2,70,Yes,5,8,10,47
4,98,No,6,0,4,78
8,48,N,6,0,8,38
7,82,Yes,8,4,11,70
9,97,Yes,8,5,14,98
8,92,Yes,4,7,15,87
5,64,Y,6,2,7,49
2,64,Yes,6,5,7,41
5,88,No,5,2,7,71
8,60,No,4,7,15,54
9,48,No,4,3,12,42
9,94,No,9,1,10,91
1,87,Yes,8,8,9,61
9,77,No,9,9,18,74
7,61,Yes,4,7,14,54
9,82,Yes,5,5,14,81
8,62,Yes,4,2,10,52
1,88,Yes,9,1,2,65
8,43,Yes,7,3,11,36
8,68,No,7,3,11,61
3,54,Yes,5,0,3,35
1,40,Yes,8,8,9,15
8,93,Yes,6,9,17,88
3,69,No,4,7,10,45
3,68,Yes,9,6,9,49
1,59,Yes,8,5,6,33
5,72,Yes,9,2,7,60
7,80,No,8,3,10,71
9,83,Yes,4,1,10,81
7,75,No,6,6,13,67
9,99,No,4,1,10,95
8,61,Yes,6,9,17,58
2,52,No,9,0,2,29
1,46,No,5,5,6,21
7,47,Yes,6,3,10,38
7,67,Yes,8,7,14,60
8,84,Yes,5,0,8,76
5,82,Yes,9,8,13,69
3,48,No,7,5,8,30
8,64,No,5,1,9,57
6,95,Yes,6,7,13,81
3,55,Yes,5,4,7,36
1,49,Yes,9,4,5,25
3,50,No,5,4,7,27
5,70,Yes,9,6,11,61
3,51,No,7,6,9,34
1,99,No,6,9,10,76
5,70,N,8,6,11,57
7,53,No,5,9,16,45
7,90,Yes,4,1,8,76
9,83,Yes,8,7,16,83
3,71,Yes,5,0,3,50
7,89,No,8,1,8,81
1,92,No,4,6,7,66
4,56,Yes,8,3,7,38
4,74,No,8,9,13,56
5,40,No,4,9,14,25
7,68,No,4,8,15,56
7,90,Yes,4,8,15,82
4,43,Yes,7,2,6,23
7,62,Yes,9,2,9,56
3,67,Nah,9,8,11,46
6,55,Yes,4,9,15,43
2,51,Yes,9,7,9,30
9,92,Yes,8,0,9,92
5,60,No,4,5,10,45
6,84,No,5,6,12,70
4,56,No,4,7,11,36
7,79,No,4,1,8,71
9,52,No,9,0,9,49
7,91,Yes,6,3,10,82
1,97,Yess,8,0,1,71
1,71,No,9,1,2,43
9,76,No,8,2,11,77
9,89,Yes,5,3,12,86
4,54,No,7,5,9,34
9,51,No,6,7,16,49
3,88,No,5,8,11,69
7,96,N,5,3,10,84
6,54,No,8,0,6,41
8,73,Yes,6,4,12,68
9,45,Yes,8,4,13,44
5,56,No,7,8,13,41
1,87,No,8,5,6,58
3,88,Yes,4,4,7,68
8,96,No,8,9,17,94
6,59,Yes,4,9,15,47
8,48,No,5,4,12,40
9,98,Yes,7,7,16,200
4,44,Yes,9,0,4,23
1,62,No,4,4,5,36
1,72,No,7,0,1,47
4,77,Yes,8,6,10,60
7,95,No,9,6,13,83
2,53,Yes,8,9,11,33
3,56,No,5,7,10,36
1,96,No,8,6,7,74
5,58,No,4,8,13,42
1,72,Yes,5,7,8,47
8,40,Yes,7,7,15,31
1,52,No,5,2,3,26
1,85,Yes,7,9,10,58
2,66,No,6,3,5,42
2,45,Yes,4,3,5,18
6,98,No,4,0,6,85
7,45,Yes,7,5,12,36
5,72,Yes,8,1,6,58
1,69,Yes,9,8,9,45
1,85,Yes,8,0,1,60
3,74,Yes,6,0,3,56
2,62,Yes,7,9,11,42
5,49,No,6,5,10,33
6,90,No,7,0,6,77
7,58,Y,6,2,9,51
4,90,No,7,9,13,72
7,67,Yes,4,1,8,57
8,62,No,6,8,16,53
1,43,No,6,4,5,16
6,59,No,7,5,11,45
8,58,No,5,1,9,49
5,81,Yes,5,7,12,67
4,66,No,4,5,9,49
2,96,No,8,7,9,73
6,73,No,8,7,13,65
6,43,Yes,4,0,6,27
1,95,No,8,6,7,72
9,77,Yes,9,1,10,74
6,46,Yes,9,7,13,38
3,87,No,9,1,4,67
4,46,Yes,9,3,7,28
4,89,No,7,1,5,73
3,91,No,5,6,9,72
3,65,No,4,4,7,42
3,65,No,7,8,11,47
4,93,No,9,4,8,77
7,58,No,4,7,14,49
4,48,Nah,5,1,5,30
9,59,Yes,8,2,11,54
1,81,Yes,7,5,6,56
8,84,No,5,6,14,75
7,89,No,4,9,16,78
2,55,Yes,6,7,9,32
8,93,No,7,2,10,89
1,56,Yes,4,6,7,29
9,61,Yes,4,7,16,57
9,52,No,5,9,18,48
2,51,No,4,5,7,27
7,49,Yes,7,3,10,38
3,40,Yes,9,5,8,18
7,71,No,7,8,15,66
9,69,No,4,2,11,65
4,47,Yes,5,1,5,27
1,60,Yes,7,4,5,33
2,61,Yes,6,6,8,37
1,57,No,9,2,3,29
5,41,No,8,4,9,26
5,87,No,5,3,8,72
7,83,Yes,5,6,13,77
9,48,Yes,8,1,10,45
9,42,No,8,6,15,41
3,93,Yes,7,1,4,73
3,65,Yes,4,2,5,43
3,60,Yes,4,4,7,39
4,69,Yes,6,6,10,54
8,67,Y,9,5,13,62
6,75,No,4,6,12,63
8,65,No,6,5,13,59
1,73,No,6,0,1,46
8,47,No,5,4,12,42
4,49,No,5,0,4,30
1,87,Yes,9,6,7,63
8,94,Yes,7,3,11,89
4,82,Yes,8,4,8,62
6,89,No,8,0,6,77
8,93,Yes,9,7,15,88
4,53,Yes,6,3,7,35
3,79,Yes,9,2,5,60
9,94,No,8,0,9,92
3,54,Yes,6,3,6,38
9,56,Yes,8,2,11,56
2,92,N,7,7,9,70
2,57,No,5,8,10,35
2,71,Yes,5,4,6,47
6,77,No,6,8,14,66
3,62,Yes,9,0,3,43
9,85,No,8,6,15,81
4,62,Yes,4,6,10,43
1,74,Yes,7,5,6,46
4,78,No,8,3,7,61
1,54,No,4,8,9,27
5,92,No,7,2,7,77
4,63,No,7,0,4,43
8,67,Yes,5,1,9,60
8,55,No,6,2,10,48
7,55,Yes,8,1,8,47
3,79,Yes,7,5,8,60
1,78,Yes,8,6,7,53
1,45,No,7,4,5,19
3,41,Yes,9,4,7,23
6,93,Yes,5,6,12,81
7,52,No,6,5,12,41
6,83,Yes,4,7,13,71
6,86,Yes,4,8,14,75
6,98,Yes,9,1,7,89
3,48,No,5,1,4,28
6,73,Yes,7,0,6,60
8,56,Yes,5,6,14,54
2,66,Yess,6,3,5,41
5,68,No,4,8,13,52
1,76,No,8,5,6,53
1,82,N,4,6,7,52
5,61,Yes,6,6,11,47
3,90,Yes,7,7,10,71
4,63,Yes,5,3,7,42
3,46,Yes,4,2,5,21
1,73,Yes,4,2,3,48
1,87,No,8,9,10,64
5,51,Yes,5,7,12,38
6,62,Yes,8,2,8,49
3,54,No,8,7,10,35
9,72,No,7,1,10,73
5,96,Yes,4,4,9,81
8,52,No,9,4,12,47
1,62,No,5,6,7,36
5,77,No,7,4,9,63
3,71,Yes,9,8,11,52
1,84,No,7,2,3,58
4,89,Yes,7,8,12,77
5,74,No,6,0,5,58
7,40,Yes,6,2,9,33
1,86,Yes,7,3,4,67
3,97,Yes,6,5,8,76
2,84,No,5,9,11,62
9,44,No,4,7,16,37
6,96,No,9,6,12,86
3,52,Yes,5,7,10,37
8,93,No,4,5,13,88
8,44,No,6,5,13,38
2,99,Yes,9,5,7,76
6,71,No,5,2,8,57
7,90,Yes,8,9,16,82
2,60,No,7,3,5,35
2,63,Yes,4,5,7,41
1,99,Yes,4,6,7,75
8,57,No,8,2,10,51
1,60,Yes,8,3,4,34
9,93,No,7,5,14,92
6,49,No,6,0,6,39
7,63,No,5,6,13,56
7,79,No,5,0,7,69
3,86,Yes,5,9,12,69
2,60,Yes,6,8,10,40
9,64,Yes,7,9,18,63
8,91,No,5,8,16,86
7,99,No,4,8,15,89
9,96,Yes,4,3,12,94
4,98,Yes,4,1,5,79
4,62,No,8,6,10,44
1,61,No,8,3,4,33
8,43,No,6,4,12,36
3,73,Yes,5,0,3,50
7,95,No,8,9,16,94
2,45,Yes,4,5,7,22
2,67,No,8,6,8,44
7,70,Yes,4,2,9,60
6,74,No,5,9,15,64
3,78,Yes,6,1,4,58
9,81,Yes,7,9,18,78
6,62,Yes,7,6,12,51
6,45,No,4,0,6,30
1,55,Yes,8,1,2,29
4,41,Yes,8,2,6,22
6,63,No,4,3,9,51
6,56,Yes,5,4,10,45
5,84,Yes,4,3,8,70
1,40,No,5,9,10,10
8,45,Yes,6,2,10,38
5,44,No,6,0,5,30
5,96,Yes,4,6,11,82
7,84,No,6,9,16,74
